Indicator,Label_1,Label_2,X1_id,X2_id
1,Experimental,Electronic,118195,69732
1,Experimental,Pop,109106,32328
1,Rock,Hip-Hop,108297,98573
1,Pop,Rock,127294,70402
0,Instrumental,Instrumental,110652,133440
1,Pop,Experimental,111385,134643
0,Rock,Rock,106876,70402
1,Electronic,Folk,144592,76437
0,Pop,Pop,111385,111389
1,Electronic,Folk,135986,85967
1,Instrumental,Folk,120302,127190
1,Pop,Electronic,121594,133024
1,International,Instrumental,62188,95725
1,Experimental,International,113203,121913
1,Instrumental,Electronic,20366,21422
1,Electronic,Pop,114282,51265
1,Rock,International,50448,59657
0,International,International,131950,62189
1,Pop,Experimental,62751,82886
1,Experimental,Instrumental,119097,120328
1,Experimental,International,86140,91183
1,Folk,Hip-Hop,125192,43867
0,Hip-Hop,Hip-Hop,11791,91312
1,International,Folk,60548,85967
1,Rock,International,48015,91179
1,Instrumental,Folk,116467,40244
1,Experimental,Rock,119063,3766
1,International,Hip-Hop,134935,78984
1,Rock,Pop,106567,59449
1,Electronic,Rock,116878,88900
1,Electronic,Rock,84198,86419
1,Rock,Instrumental,117885,14583
1,Instrumental,Experimental,133440,64861
1,Electronic,Rock,47070,88900
0,International,International,131941,98348
0,Instrumental,Instrumental,139003,14583
1,International,Hip-Hop,43589,91312
1,Rock,Hip-Hop,117885,75749
1,Folk,International,12490,4233
1,Rock,Hip-Hop,3766,98617
0,International,International,6342,98348
1,Electronic,Experimental,108339,124870
1,Pop,Electronic,39658,93940
1,Experimental,Electronic,44791,84198
1,Electronic,Rock,115392,3766
1,Electronic,Pop,84264,91162
1,Folk,Hip-Hop,212,78849
0,Folk,Folk,109906,11059
0,Instrumental,Instrumental,20366,80518
1,Electronic,Experimental,104284,119379
1,Electronic,Experimental,13708,43691
1,Pop,Experimental,39658,43063
1,Experimental,Hip-Hop,134643,142671
1,Pop,Electronic,111389,47070
1,Instrumental,Experimental,120320,134094
0,International,International,133836,59685
1,International,Folk,14602,93075
1,Rock,International,108967,43594
1,Instrumental,Experimental,108021,69002
1,Experimental,International,40161,54442
1,Instrumental,Folk,120320,84157
1,Rock,Hip-Hop,87151,89860
1,Rock,Folk,106876,47865
1,International,Rock,110449,114413
1,International,Rock,107184,19187
1,Experimental,Rock,125239,83791
1,Pop,International,35608,38821
1,Instrumental,Experimental,123485,43063
1,Instrumental,Rock,141290,26638
1,Rock,Electronic,112734,52647
0,Rock,Rock,26638,35537
0,Pop,Pop,39661,69182
1,Pop,Instrumental,138062,80518
1,Folk,International,12052,91179
1,Instrumental,Experimental,120771,70005
1,Pop,Folk,68355,68854
0,Electronic,Electronic,110690,29816
1,Instrumental,Experimental,126018,8416
1,Experimental,Folk,109106,58135
1,Instrumental,Electronic,139777,39607
1,Pop,Rock,67357,7495
1,Experimental,Hip-Hop,112781,78984
1,Rock,International,42310,59658
1,Instrumental,Electronic,52446,52647
0,Pop,Pop,127298,138062
1,Rock,International,42310,98348
1,Folk,Experimental,126778,44354
1,Folk,Pop,110927,67760
1,Folk,International,10575,131941
1,Folk,Instrumental,10381,113789
1,Rock,Electronic,106567,26651
1,Pop,Hip-Hop,62751,71253
1,International,Electronic,142569,56802
1,Rock,Pop,88900,96944
1,Folk,Hip-Hop,126489,6610
1,Hip-Hop,Rock,129910,57500
1,Experimental,Folk,86081,88858
1,Instrumental,Rock,133457,143220
1,Pop,Electronic,120188,144592
1,Folk,International,116456,121913
1,Pop,Rock,126426,50448
1,Hip-Hop,Pop,146724,96944
1,Experimental,Instrumental,44354,75429
1,Hip-Hop,International,14391,6396
1,Rock,International,114397,121913
1,Rock,Experimental,37592,7379
1,International,Instrumental,110449,115473
1,Rock,International,3766,6396
1,Rock,Electronic,106877,55782
1,Electronic,Folk,110690,91933
1,International,Pop,73768,91158
1,Instrumental,Hip-Hop,141290,78984
1,Hip-Hop,International,134825,80696
1,Rock,International,26639,4102
1,International,Experimental,142569,43063
1,Experimental,Rock,109106,96935
1,Instrumental,International,145457,38821
1,Electronic,International,108339,142569
1,Electronic,Pop,26651,67760
1,International,Instrumental,113271,133441
1,Folk,International,126489,98656
1,Instrumental,Electronic,116099,84198
1,Folk,Instrumental,12046,75429
1,Folk,Instrumental,140790,141290
1,Electronic,International,124752,33070
0,Hip-Hop,Hip-Hop,108846,12526
1,Rock,International,106567,56465
1,Rock,Pop,143220,67760
